ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ACTUAL_SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,CUSTOMERNAME,POSTALCODE,COUNTRY,TERRITORY,DEALSIZE
10107,30,95.7,2871,2/24/2003,Shipped,1,2,2003,Motorcycles,95,Land of Toys Inc.,10022,USA,NA,Small
10121,34,81.35,2765.9,5/7/2003,Shipped,2,5,2003,Motorcycles,95,Reims Collectables,51100,France,EMEA,Small
10134,41,94.74,3884.34,7/1/2003,Shipped,3,7,2003,Motorcycles,95,Lyon Souveniers,75508,France,EMEA,Medium
10145,45,83.26,3746.7,8/25/2003,Shipped,3,8,2003,Motorcycles,95,Toys4GrownUps.com,90003,USA,NA,Medium
10159,49,100,4900,10/10/2003,Shipped,4,10,2003,Motorcycles,95,Corporate Gift Ideas Co.,Unknown,USA,NA,Medium
10168,36,96.66,3479.76,10/28/2003,Shipped,4,10,2003,Motorcycles,95,Technics Stores Inc.,94217,USA,NA,Medium
10180,29,86.13,2497.77,11/11/2003,Shipped,4,11,2003,Motorcycles,95,Daedalus Designs Imports,59000,France,EMEA,Small
10188,48,100,4800,11/18/2003,Shipped,4,11,2003,Motorcycles,95,Herkku Gifts,N 5804,Norway,EMEA,Medium
10201,22,98.57,2168.54,12/1/2003,Shipped,4,12,2003,Motorcycles,95,Mini Wheels Co.,Unknown,USA,NA,Small
10211,41,100,4100,1/15/2004,Shipped,1,1,2004,Motorcycles,95,Auto Canal Petit,75016,France,EMEA,Medium
10223,37,100,3700,2/20/2004,Shipped,1,2,2004,Motorcycles,95,"Australian Collectors, Co.",3004,Australia,APAC,Medium
10237,23,100,2300,4/5/2004,Shipped,2,4,2004,Motorcycles,95,Vitachrome Inc.,10022,USA,NA,Small
10251,28,100,2800,5/18/2004,Shipped,2,5,2004,Motorcycles,95,Tekni Collectables Inc.,94019,USA,NA,Medium
10263,34,100,3400,6/28/2004,Shipped,2,6,2004,Motorcycles,95,Gift Depot Inc.,97562,USA,NA,Medium
10275,45,92.83,4177.35,7/23/2004,Shipped,3,7,2004,Motorcycles,95,La Rochelle Gifts,44000,France,EMEA,Medium
10285,36,100,3600,8/27/2004,Shipped,3,8,2004,Motorcycles,95,Marta's Replicas Co.,51247,USA,NA,Medium
10299,23,100,2300,9/30/2004,Shipped,3,9,2004,Motorcycles,95,"Toys of Finland, Co.",21240,Finland,EMEA,Small
10309,41,100,4100,10/15/2004,Shipped,4,10,2004,Motorcycles,95,Baane Mini Imports,4110,Norway,EMEA,Medium
10318,46,94.74,4358.04,11/2/2004,Shipped,4,11,2004,Motorcycles,95,Diecast Classics Inc.,70267,USA,NA,Medium
10329,42,100,4200,11/15/2004,Shipped,4,11,2004,Motorcycles,95,Land of Toys Inc.,10022,USA,NA,Medium
10341,41,100,4100,11/24/2004,Shipped,4,11,2004,Motorcycles,95,Salzburg Collectables,5020,Austria,EMEA,Large
10361,20,72.55,1451,12/17/2004,Shipped,4,12,2004,Motorcycles,95,Souveniers And Things Co.,2067,Australia,APAC,Small
10375,21,34.91,733.11,2/3/2005,Shipped,1,2,2005,Motorcycles,95,La Rochelle Gifts,44000,France,EMEA,Small
10388,42,76.36,3207.12,3/3/2005,Shipped,1,3,2005,Motorcycles,95,FunGiftIdeas.com,50553,USA,NA,Medium
10403,24,100,2400,4/8/2005,Shipped,2,4,2005,Motorcycles,95,"UK Collectables, Ltd.",WX1 6LT,UK,EMEA,Small
10417,66,100,6600,5/13/2005,Disputed,2,5,2005,Motorcycles,95,Euro Shopping Channel,28034,Spain,EMEA,Large
10103,26,100,2600,1/29/2003,Shipped,1,1,2003,Classic Cars,214,Baane Mini Imports,4110,Norway,EMEA,Medium
10112,29,100,2900,3/24/2003,Shipped,1,3,2003,Classic Cars,214,"Volvo Model Replicas, Co",S-958 22,Sweden,EMEA,Large
10126,38,100,3800,5/28/2003,Shipped,2,5,2003,Classic Cars,214,"Corrida Auto Replicas, Ltd",28023,Spain,EMEA,Large
